id	title	text	genre	age	value
18	Hansel and Gretel	"Hard by a great forest dwelt a poor wood-cutter with his wife and his two children. The boy was called Hansel and the girl Gretel. He had little to bite and to break, and once when great dearth fell on the land, he could no longer procure even daily bread. Now when he thought over this by night in his bed, and tossed about in his anxiety, he groaned and said to his wife, what is to become of us. How are we to feed our poor children, when we no longer have anything even for ourselves. I'll tell you what, husband, answered the woman, early to-morrow morning we will take the children out into the forest to where it is the thickest. There we will light a fire for them, and give each of them one more piece of bread, and then we will go to our work and leave them alone. They will not find the way home again, and we shall be rid of them. No, wife, said the man, I will not do that. How can I bear to leave my children alone in the forest. The wild animals would soon come and tear them to pieces. O' you fool, said she, then we must all four die of hunger, you may as well plane the planks for our coffins, and she left him no peace until he consented. But I feel very sorry for the poor children, all the same, said the man. The two children had also not been able to sleep for hunger, and had heard what their step-mother had said to their father. Gretel wept bitter tears, and said to Hansel, now all is over with us. Be quiet, Gretel, said Hansel, do not distress yourself, I will soon find a way to help us. And when the old folks had fallen asleep, he got up, put on his little coat, opened the door below, and crept outside. The moon shone brightly, and the white pebbles which lay in front of the house glittered like real silver pennies. Hansel stooped and stuffed the little pocket of his coat with as many as he could get in. Then he went back and said to Gretel, be comforted, dear little sister, and sleep in peace, God will not forsake us, and he lay down again in his bed. When day dawned, but before the sun had risen, the woman came and awoke the two children, saying get up, you sluggards. We are going into the forest to fetch wood. She gave each a little piece of bread, and said, there is something for your dinner, but do not eat it up before then, for you will get nothing else. Gretel took the bread under her apron, as Hansel had the pebbles in his pocket. Then they all set out together on the way to the forest. When they had walked a short time, Hansel stood still and peeped back at the house, and did so again and again. His father said, Hansel, what are you looking at there and staying behind for. Pay attention, and do not forget how to use your legs. Ah, father, said Hansel, I am looking at my little white cat, which is sitting up on the roof, and wants to say good-bye to me. The wife said, fool, that is not your little cat, that is the morning sun which is shining on the chimneys. Hansel, however, had not been looking back at the cat, but had been constantly throwing one of the white pebble-stones out of his pocket on the road. When they had reached the middle of the forest, the father said, now, children, pile up some wood, and I will light a fire that you may not be cold. Hansel and Gretel gathered brushwood together, as high as a little hill. The brushwood was lighted, and when the flames were burning very high, the woman said, now, children, lay yourselves down by the fire and rest, we will go into the forest and cut some wood. When we have done, we will come back and fetch you away. Hansel and Gretel sat by the fire, and when noon came, each ate a little piece of bread, and as they heard the strokes of the wood-axe they believed that their father was near. It was not the axe, however, but a branch which he had fastened to a withered tree which the wind was blowing backwards and forwards. And as they had been sitting such a long time, their eyes closed with fatigue, and they fell fast asleep. When at last they awoke, it was already dark night. Gretel began to cry and said, how are we to get out of the forest now. But Hansel comforted her and said, just wait a little, until the moon has risen, and then we will soon find the way. And when the full moon had risen, Hansel took his little sister by the hand, and followed the pebbles which shone like newly-coined silver pieces, and showed them the way. They walked the whole night long, and by break of day came once more to their father's house. They knocked at the door, and when the woman opened it and saw that it was Hansel and Gretel, she said, you naughty children, why have you slept so long in the forest. We thought you were never coming back at all. The father, however, rejoiced, for it had cut him to the heart to leave them behind alone. Not long afterwards, there was once more great dearth throughout the land, and the children heard their mother saying at night to their father, everything is eaten again, we have one half loaf left, and that is the end. The children must go, we will take them farther into the wood, so that they will not find their way out again. There is no other means of saving ourselves. The man's heart was heavy, and he thought, it would be better for you to share the last mouthful with your children. The woman, however, would listen to nothing that he had to say, but scolded and reproached him. He who says a must say b, likewise, and as he had yielded the first time, he had to do so a second time also. The children, however, were still awake and had heard the conversation. When the old folks were asleep, Hansel again got up, and wanted to go out and pick up pebbles as he had done before, but the woman had locked the door, and Hansel could not get out. Nevertheless he comforted his little sister, and said, do not cry, Gretel, go to sleep quietly, the good God will help us. Early in the morning came the woman, and took the children out of their beds. Their piece of bread was given to them, but it was still smaller than the time before. On the way into the forest Hansel crumbled his in his pocket, and often stood still and threw a morsel on the ground. Hansel, why do you stop and look round. Said the father, go on. I am looking back at my little pigeon which is sitting on the roof, and wants to say good-bye to me, answered Hansel. Fool. Said the woman, that is not your little pigeon, that is the morning sun that is shining on the chimney. Hansel, however, little by little, threw all the crumbs on the path. The woman led the children still deeper into the forest, where they had never in their lives been before. Then a great fire was again made, and the mother said, just sit there, you children, and when you are tired you may sleep a little. We are going into the forest to cut wood, and in the evening when we are done, we will come and fetch you away. When it was noon, Gretel shared her piece of bread with Hansel, who had scattered his by the way. Then they fell asleep and evening passed, but no one came to the poor children. They did not awake until it was dark night, and Hansel comforted his little sister and said, just wait, Gretel, until the moon rises, and then we shall see the crumbs of bread which I have strewn about, they will show us our way home again. When the moon came they set out, but they found no crumbs, for the many thousands of birds which fly about in the woods and fields had picked them all up. Hansel said to Gretel, we shall soon find the way, but they did not find it. They walked the whole night and all the next day too from morning till evening, but they did not get out of the forest, and were very hungry, for they had nothing to eat but two or three berries, which grew on the ground. And as they were so weary that their legs would carry them no longer, they lay down beneath a tree and fell asleep. It was now three mornings since they had left their father's house. They began to walk again, but they always came deeper into the forest, and if help did not come soon, they must die of hunger and weariness. When it was mid-day, they saw a beautiful snow-white bird sitting on a bough, which sang so delightfully that they stood still and listened to it. And when its song was over, it spread its wings and flew away before them, and they followed it until they reached a little house, on the roof of which it alighted. And when they approached the little house they saw that it was built of bread and covered with cakes, but that the windows were of clear sugar. We will set to work on that, said Hansel, and have a good meal. I will eat a bit of the roof, and you Gretel, can eat some of the window, it will taste sweet. Hansel reached up above, and broke off a little of the roof to try how it tasted, and Gretel leant against the window and nibbled at the panes. Then a soft voice cried from the parlor - nibble, nibble, gnaw who is nibbling at my little house. The children answered - the wind, the wind, the heaven-born wind, and went on eating without disturbing themselves. Hansel, who liked the taste of the roof, tore down a great piece of it, and Gretel pushed out the whole of one round window-pane, sat down, and enjoyed herself with it. Suddenly the door opened, and a woman as old as the hills, who supported herself on crutches, came creeping out. Hansel and Gretel were so terribly frightened that they let fall what they had in their hands. The old woman, however, nodded her head, and said, oh, you dear children, who has brought you here. Do come in, and stay with me. No harm shall happen to you. She took them both by the hand, and led them into her little house. Then good food was set before them, milk and pancakes, with sugar, apples, and nuts. Afterwards two pretty little beds were covered with clean white linen, and Hansel and Gretel lay down in them, and thought they were in heaven. The old woman had only pretended to be so kind. She was in reality a wicked witch, who lay in wait for children, and had only built the little house of bread in order to entice them there. When a child fell into her power, she killed it, cooked and ate it, and that was a feast day with her. Witches have red eyes, and cannot see far, but they have a keen scent like the beasts, and are aware when human beings draw near. When Hansel and Gretel came into her neighborhood, she laughed with malice, and said mockingly, I have them, they shall not escape me again. Early in the morning before the children were awake, she was already up, and when she saw both of them sleeping and looking so pretty, with their plump and rosy cheeks, she muttered to herself, that will be a dainty mouthful. Then she seized Hansel with her shrivelled hand, carried him into a little stable, and locked him in behind a grated door. Scream as he might, it would not help him. Then she went to Gretel, shook her till she awoke, and cried, get up, lazy thing, fetch some water, and cook something good for your brother, he is in the stable outside, and is to be made fat. When he is fat, I will eat him. Gretel began to weep bitterly, but it was all in vain, for she was forced to do what the wicked witch commanded. And now the best food was cooked for poor Hansel, but Gretel got nothing but crab-shells. Every morning the woman crept to the little stable, and cried, Hansel, stretch out your finger that I may feel if you will soon be fat. Hansel, however, stretched out a little bone to her, and the old woman, who had dim eyes, could not see it, and thought it was Hansel's finger, and was astonished that there was no way of fattening him. When four weeks had gone by, and Hansel still remained thin, she was seized with impatience and would not wait any longer. Now, then, Gretel, she cried to the girl, stir yourself, and bring some water. Let Hansel be fat or lean, to-morrow I will kill him, and cook him. Ah, how the poor little sister did lament when she had to fetch the water, and how her tears did flow down her cheeks. Dear God, do help us, she cried. If the wild beasts in the forest had but devoured us, we should at any rate have died together. Just keep your noise to yourself, said the old woman, it won't help you at all. Early in the morning, Gretel had to go out and hang up the cauldron with the water, and light the fire. We will bake first, said the old woman, I have already heated the oven, and kneaded the dough. She pushed poor Gretel out to the oven, from which flames of fire were already darting. Creep in, said the witch, and see if it properly heated, so that we can put the bread in. And once Gretel was inside, she intended to shut the oven and let her bake in it, and then she would eat her, too. But Gretel saw what she had in mind, and said, I do not know how I am to do it. How do I get in. Silly goose, said the old woman, the door is big enough. Just look, I can get in myself, and she crept up and thrust her head into the oven. Then Gretel gave her a push that drove her far into it, and shut the iron door, and fastened the bolt. Oh. Then she began to howl quite horribly, but Gretel ran away, and the godless witch was miserably burnt to death. Gretel, however, ran like lightning to Hansel, opened his little stable, and cried, Hansel, we are saved. The old witch is dead. Then Hansel sprang like a bird from its cage when the door is opened. How they did rejoice and embrace each other, and dance about and kiss each other. And as they had no longer any need to fear her, they went into the witch's house, and in every corner there stood chests full of pearls and jewels. These are far better than pebbles. Said Hansel, and thrust into his pockets whatever could be got in, and Gretel said, I, too, will take something home with me, and filled her pinafore full. But now we must be off, said Hansel, that we may get out of the witch's forest. When they had walked for two hours, they came to a great stretch of water. We cannot cross, said Hansel, I see no foot-plank, and no bridge. And there is also no ferry, answered Gretel, but a white duck is swimming there. If I ask her, she will help us over. Then she cried - little duck, little duck, dost thou see, Hansel and Gretel are waiting for thee. There's never a plank, or bridge in sight, take us across on thy back so white. The duck came to them, and Hansel seated himself on its back, and told his sister to sit by him. No, replied Gretel, that will be too heavy for the little duck. She shall take us across, one after the other. The good little duck did so, and when they were once safely across and had walked for a short time, the forest seemed to be more and more familiar to them, and at length they saw from afar their father's house. Then they began to run, rushed into the parlor, and threw themselves round their father's neck. The man had not known one happy hour since he had left the children in the forest. The woman, however, was dead. Gretel emptied her pinafore until pearls and precious stones ran about the room, and Hansel threw one handful after another out of his pocket to add to them. Then all anxiety was at an end, and they lived together in perfect happiness. My tale is done, there runs a mouse, whosoever catches it, may make himself a big fur cap out of it. "	fairy tale		"cleverness, appearance, deception, naivety"
19	Dionysus and Ariadne	"One day, when Dionysus was in the form of his favorite shape, a handsome young man, dripping with jewels, he was spotted by some pirates. They thought they had stumbled across a rich prize, someone they could sell for a lot of money as a slave. Laughing cruelly, they grabbed what they thought was a rich young man (who was really the god, Dionysus), and carried him off to their pirate ship. They tied him tightly to the mast.
Dionysus found this all rather amusing. He might have waited a bit longer to see what these stupid mortals would do next, but the rope was rubbing his skin uncomfortably. Dionysus used his magical powers to push the rope away. It landed in a heap at his feet.
One of the pirates noticed the young man was no longer tied to the mast. The pirate gasped in surprise. He strongly suspected that he and his fellow pirates had made a terrible mistake. This was no ordinary mortal. Things would not go well for them if they did not quickly return the lad to shore. He pleaded with the other pirates to turn the ship about. But they tied Dionysus to the mast even more tightly than before and headed out to sea.
Dionysus waited until the ship had reached very deep water. He pushed the ropes off his body. At the same time, he waved his arm, and thick vines surged from the sea and entangled the ship. Dionysus shape shifted into a roaring lion. He sprang on the terrified pirates. Some jumped overboard to avoid his sharp claws and teeth. Soon, the only pirate left alive on board was the pirate who had begged for his release. That pirate would have gladly jumped overboard with his mates, but Dionysus used his magic to make sure that pirate's feet were stuck firmly in place.
""Is that the island of Naxos?"" Dionysus asked casually, peering ahead.
The pirate nodded, too terrified to speak.
""You can drop me off there,"" Dionysus decided. The vines fell away. With no one at the wheel, the ship moved smoothly forward, sailing calmly towards the island of Naxos.
When they arrived at the island, Dionysus leaped nimbly onto the seawall. He gave the pirate a friendly wave goodbye, and gave the ship a magical shove out to sea. No one knows if the pirate was able to pilot the ship alone, and no one (except the pirate of course) much cared.
It was there, on the island of Naxos, that Dionysus first saw the lovely Ariadne. (Abandoned by Theseus, Ariadne spent her days curled on the seawall, staring out to sea.) That day, she was fast asleep, worn out with weeping. She took his breath away, she was that beautiful. He waited patiently until Ariadne opened her eyes. She saw a handsome young man, gazing admiring at her. Ariadne felt better immediately. She told Dionysus  about her noble efforts to save Theseus and the children of Athens.
""And look where it got me,"" she sniffed. 
""You poor thing,"" Dionysus said with great sympathy. He immediately asked the lovely young Ariadne to marry him. (As often as the gods did that kind of thing, it's no wonder that so many of their marriages ended in disaster.)
Ariadne, no longer feeling forsaken or friendless, and delighted to be admired by this handsome young man, who was obviously wealthy - only look at his garments! - consented to be his wife.
Believe it or not, Ariadne and Dionysus lived happily ever after!"	myth		"love, appearance, confidence"
20	"Zeus, Hero, and Little Io"	"Once upon a time, a long time ago ...
Zeus, Poseidon, and Hades were the three sons of Cronos. When Cronos retired, the boys divided the world up between them. Zeus took the sky, Poseidon took the sea, and Hades ruled under the earth, the home of the dead. At first, it was great fun. But things had been just a bit slow lately.
Zeus thought about what he could do.
He could turn himself into an octopus and visit his brother Poseidon under the sea, but he didn't feel much like a swim.
He could visit Hades under the earth, but Hades was such a gloomy fellow.
He could hurl thunderbolts, but it wasn't much fun without a target.
He could hunt up one of the other gods. But the truth was, all the other gods were terrified of Zeus. He did have a terrible temper, but only when someone lied to him. Since the gods often lied, they mostly avoided Zeus.
He could call for his wife, Hera. But the truth was, Zeus was a little frightened of his wife, Hera.
He could find a beautiful woman. But he couldn't let Hera catch him. His wife Hera was very very jealous.
Zeus flew down to earth and looked around for something to do. He spotted two men walking along a lane. Zeus cast his voice to make it sound like somebody else was speaking. He was very good at that.
""Hey stupid,"" Zeus cast his voice loudly, hoping to start a fight.
One man turned to the other angrily. ""What did you say?"" And before you could say Zeus, fists were flying. Zeus found that very funny.
A glint on the river caught his eye. It was Io, a lovely river nymph.
""What a lovely young woman,"" Zeus said. He promptly fell in love.
Hoping to hide himself from the eagle eye of his jealous wife, Zeus covered the world with some really thick clouds. Then he flew down to Io. But Hera was not stupid. The thick coat of clouds made her suspicious immediately.
Zeus looked up. ""It's Hera!"" he gulped.
Quickly, Zeus changed Io into a cow. When Hera landed, all she found was an innocent looking Zeus standing next to a little white cow.
""This little cow appeared out of nowhere,"" he told his wife, acting surprised.
Hera was not fooled. ""What a beautiful cow,"" she gushed admiringly. ""May I have it as a present?""
Not knowing what else to do, Zeus had to agree. Hera sent the cow away under guard.
Zeus arranged for Io to be rescued and set free. He sent his son Apollo to sing the guard asleep. When the guard closed his eyes, Io ran away.
When Hera heard about it, she sent a gadfly after Io. A gadfly is a fly that bites.
""Moo moo,"" Io screamed, when the gadfly found her.
Io swam across a sea, hoping the gadfly would drown on the trip. No such luck, although Hera did name the sea between Greece and Rome after Io. Perhaps you've heard of it - the Ionian Sea? No matter.
Feeling very sorry for herself, a dispirited Io traveled next to Egypt.
It was then that Hera decided that Io had suffered enough. First, she made Zeus promise that he would never see Io again. Then she changed Io back into human form, and left her in Egypt.
Egypt was a dismal place for a river nymph. There are crocodiles in the Nile.
Back in Greece, Zeus gave a big sigh. Surely there was something he could do ....
"	myth		"love, deception, appearance"
21	The Trouble with Oracles	"Apollo decided he needed an assistant, a wise woman, an oracle. An oracle, in ancient Greece, was someone who could see the future. But Apollo did not want any old oracle to speak for him. He wanted a real one. But there weren't any real ones, not really. The oracles he had met always had vague answers.
For example, if you asked an oracle if you should plant your garden tomorrow, they might say ""the frost will be gone if the gods will it."" Not really helpful.
Apollo had the power to magically make someone truly see the future, just as he could. But Apollo didn't want to take the fun out of things. So Apollo set some ground rules for his oracle. He would use his magic to allow her to truly see the future. Apollo's rules stated that she had to tell the truth, but she could not be too specific. That would allow the possibility of misunderstanding. That would made it fun!
Apollo magically turned a young priestess into a real oracle. He magically built a special temple for her home. He magically told a few people here and there about his wonderful oracle.
It did not take long for the word to spread. People came from all over to ask Apollo's oracle a question. People had heard she could really see the future and could only tell the truth.
One day, a weary king came to the temple. He asked Apollo's oracle if he would win the battle. She smiled and told him a great king would win the battle. That was exactly what he had wanted to hear. He went away happy, leaving many gifts for the oracle behind him.
When he led his men into battle, they lost. The king was killed. But people still flocked to Apollo's oracle. They knew she had told the truth. She had to tell the truth. What a pity the king had not listened."	myth		"foresight, naivety"
22	"Hades, God of the Underworld"	"Hades ruled the Underworld. The Underworld was the place the ancient Greeks believed you went after you died. The Underworld was a big place. Some parts were really beautiful. One especially beautiful place was the Elysian Fields. That's where heroes went after they died. Some parts were not nice at all! You can guess who went there!

Hades was not in charge of death. He did not decide who lived and who died up on earth. He was in charge of assigning the dead a place to live in the Underworld. You could not argue with Hades. He was the only decision maker in the Underworld. It was not wise to anger Hades whether you were alive or dead, or you might end up someplace you really did not want to be for eternity!

Hades had a faithful and deeply loved companion, his three-headed dog, Cerberus. To give his dog a sniff at a new place, Hades came up to the surface now and then. If it was important enough, Hades even attended council meetings of the gods on Mount Olympus. But he never thought of Mount Olympus as his home. To Hades, home was the Underworld. His family visited him now and then. Zeus popped down whenever he felt like it. His nephew, Hermes, the deal maker for the gods, dropped in whenever he needed his uncle's help to smooth over or fix something.

Hades had two powerful brothers (and three sisters) - the mighty Zeus, king of the gods, and Poseidon, lord of the sea. He also had several nieces and nephews. His family, when they thought about him at all, thought Hades must be lonely down there in the Underworld, all by himself. But Hades was content. His family thought Hades rarely took time to play, but they were mistaken. Hades loved to play. One of his favorite belongings was his invisible helmet. He had a lot of fun with that.

More than anything, except for his beloved dog, Cerberus, Hades loved his golden chariot. It was his pride and joy. His chariot used to belong to a god named Helios. But Helios had retired and no longer pulled out the sun each day. (Zeus had reassigned that job to Apollo.) Hades and his beloved dog Cerberus would climb aboard his golden chariot and tear across the Underworld. The souls of the dead scattered left and right to get out of their way.

His family thought Hades would never fall in love. With whom? Nearly all the people Hades met were dead. They tried to introduce him to people, living people, but Hades was not interested. He had his hands full taking care of the scrabbles between souls down in the Underworld, and playing with his beloved dog and his favorite toys. Much to everyone's surprise, one day, while allowing his dog a sniff at the surface, Hades fell in love. That's when the trouble started. "	myth		"love, friendship"
23	Hades and the King of Corinth	"One day, the king of Corinth was busy trying to come up with an idea to solve Corinth's freshwater problem. He saw Zeus fly by, carrying a lovely river spirit in his arms.
""That Zeus,"" sighed the king. ""What a troublemaker!""
Soon after, the river-god Asopus flew by. ""Have you seen my daughter?"" he bellowed at the king.
""If you give my city a source of fresh water, I will tell you what I saw,” King Sisyphus shouted back. Immediately, a crystal-clear stream of fresh water bubbled up.
""Zeus took her that way,"" the king pointed.
The king knew Zeus would be angry when he heard what the king had done. But Corinth desperately needed a source of fresh water. And now they had one.
Sure enough, Zeus was furious. He told his brother Hades to take King Sisyphus down to the underworld immediately!
""When they tell you I am dead, do not put a gold coin under my tongue,” King Sisyphus whispered urgently to his wife. Being a good wife, she did exactly as the king had asked her.
Because the king was a very important person, Hades himself met the king at the River Styx, the entrance to the underworld. Because no gold coin was placed under his tongue, the king arrived at the entrance to the underworld as a poor beggar.
""Where is your gold coin?""  Hades demanded to know. ""How can you pay for a trip across the River Styx and arrive in the underworld?""
The king hung his head in shame. ""My wife was too cheap to pay for the passage.""
Hades’ mouth fell open. ""You go right back there and teach that women some manners.""  Hades sent the king back to earth immediately, where he was magically alive and well again.
The king and his beloved wife laughed when he told her about it. But he never told anyone else. You never knew when the gods might be listening."	myth		"appearance, cleverness"
24	Apollo and Cassandra	"Being a curious god, one day Apollo decided to swing by and take a look at the temple at Troy for himself.
Cassandra was not an oracle. She could not see into the future. She was a beautiful young priestess, with great ambition.
When Apollo swung by personally to take a look at his temple, all Cassandra saw was his beauty and his power. She gave him a saucy grin.
Apollo was delighted. Like all the gods, Apollo was very fond of making deals. He offered a deal to Cassandra. If she would give a kiss, he would give her the gift of prophecy so she could see into the future.
Cassandra did not hesitate. She took the deal. As soon as Apollo gave her the gift of prophecy, she looked eagerly into the future. What she saw made her gasp. She saw Apollo helping to destroy her beloved city of Troy. She spit in his face.
Apollo was angry of course. But could not take away his gift. He could only add to it. That's how his power worked. That's exactly what he did. He added something to his gift. From that time on, Cassandra could see the future, but no one believed a thing she said. That's what Apollo had added.
Sometime later, Cassandra warned her people that the huge wooden Trojan horse the Greeks had given Troy was hollow - full of Greek warriors, hidden inside - warriors who would destroy the city! The people of Troy did not believe her. They did not even look. They were far too busy celebrating the ""defeat"" of the Greeks, who had left the horse as a token of defeat (or so they believed.) But the horse was full of Greek warriors. That night, they crept out of the hollow horse and opened the city gates to let the Greek army in. That was the end of Troy."	myth		"beauty, appearance, foresight, deception"
25	The Reason for Seasons - Demeter and Persephone	"Demeter loved her little daughter, Persephone. They played together in the fields almost every day. As Persephone smiled up at her mother, Demeter's heart swelled with happiness, and the crops grew high and healthy. Flowers tumbled everywhere. As time passed, Persephone grew into a lovely goddess. That's when the trouble started.
Hades, the king of the underworld, was a gloomy fellow. He normally hung out in the Underworld.
One day, Hades felt restless. He decided to take his three-headed dog out for a chariot ride. Cerberus, his dog, usually stood guard at the gate to Underworld. But Hades gave his pup a break now and then. He scooped up Cerberus, and left a couple of spirits in charge instead.
Hades flew his chariot up to earth. Cerberus leaped out of the chariot and ran around, sniffing flowers with all three of his heads. The dog ran up to a lovely young woman, the goddess Persephone. Some people might have been startled if a three-headed dog came tearing up. But Persephone only laughed and scratched his heads.
Hades loved that old dog. He watched his dog playing happily with Persephone. He heard Persephone's delighted laugh. Hades fell deeply in love. Before anyone could stop him, he grabbed his niece, his dog, and his chariot and dove deep into the darkest depths of the Underworld.
Hades locked Persephone in a beautifully decorated room in the Hall of Hades. He brought her all kinds of delicious food. Persephone refused to eat. She had heard if you ate anything in Hades, you could never leave. She had every intention of leaving as soon as she could figure out how to do so.
Over a week went by. Finally, in desperate hunger, Persephone ate six pomegranate seeds. She promptly burst into tears.
She was not the only one crying. Demeter, her mother, missed her daughter terribly. She did not care if the crops died. She did not care about anything except finding her daughter. No one knows who told Zeus about it, but it was clear this could not go on. Zeus sent his son Hermes to work a deal with Hades.
This was the deal Hermes worked out: If Persephone would marry Hades, she would live as queen of the Underworld for six months each winter. In the spring, Persephone would return to earth and live there for six months. No one especially liked the deal, but everyone finally agreed.
Every spring, Demeter makes sure flowers are blooming and crops are growing and the fields are green with welcome. Every fall, when Persephone returns to the underworld, Demeter ignores the crops and flowers and lets them die. Each spring, Demeter brings everything to life again, ready to welcome her daughter's return.
To the ancient Greeks, that was the reason for seasons - winter, spring, summer, fall.
"	myth		"love, beauty, appearance"
26	The 12 Labours of Hercules	"One day, while thinking up ways to kill Hercules, Hera came up with an idea. It might not kill him, but it would certainly devastate him. Using an evil magic spell, she made Hercules fall into a fit of madness. While under this spell, he butchered his wife and children. As the spell passed and his vision cleared, Hercules saw what he had done. He knew it was a mistake. He knew he had been bewitched, but he was filled with guilt. He wanted to find some way to atone for his terrible mistake, only he had no idea what to do. In desperation, he visited the most powerful wizard of his day, the Oracle at Delphi, and asked for her help.
The trouble with Oracles was that their advice was often misunderstood. This time, the Oracle was clear. She believed Hercules would never have butchered his family unless he had been in the grip of an evil spell. She had no doubt that the evil spell was probably cast by Hera. She also knew that Hercules would never forgive himself unless first he was punished. She told Hercules exactly what he needed to do to atone. She whispered that he had to visit his cousin, King Eurystheus, who would give him 12 labors (tasks) that Hercules must successfully complete. Once all 12 tasks were accomplished, Hercules would be forgiven.
""Are you sure that such a simple thing will atone for my mistake?"" Hercules asked her.
The oracle answered: ""If you complete 12 Labors, immortality will be yours."" Being an oracle, she never explained what she meant by ""immortality"" - would he live forever in legend or for real? Hercules never asked. (She would not have told him anyway.)  Hercules could barely hear her, her whisper was that soft, yet somehow, and just as the Oracle had predicted to herself, Hera's spies discovered what the Oracle had told him.
Before Hercules could arrive at his cousin's palace, Hera got there first. Eurystheus (Eury for short) was the king of a little village in the city-state of Argos. Hera convinced Eury that Hercules was coming to steal his crown! It was not enough that Hercules had killed his family, she told Eury. Now he wanted to be king! Eury believed her. Hera suggested that Eury challenge Hercules to 12 labors (missions or tasks.) If he failed, Hercules had to defend Eury from anyone who tried to take Eury's crown. Eury loved that idea. Hera and Eury designed 12 impossible tasks. They were certain that one of the 12 labors they designed would surely kill Hercules, probably the very first one. Hercules was not interested in Eury's crown, but he accepted the challenge as Hera knew he would.
Hercules not only lived, he had great adventures, discovered true friends, and rid the world of some really nasty critters. "	myth		"perserverance, deception, atonement"
27	The Nemean Lion	"The Nemean Lion had huge teeth, and skin so tough that it could not be pierced by arrows. Everyone in the land of Nemean was scared to death of it. Many hunters had tried to kill the beast, but none had succeeded.

The Nemean Lion was also smart. Several hunters had tried to trick it with poisoned meat. The lion never ate the meat. He did, however, eat the hunters.

The lion was strong. But Hercules was stronger. Hercules lured the beast into a trap and strangled it. He made a coat out of the lion's fur. He wore the lion's head as a helmet. With the cheers of the grateful people of Nemean ringing in his ears, Hercules headed for home, delighted with his new clothes.

When King Eury saw the lion's head approaching, he went screaming into his castle. It took Hercules most of one day to convince King Eury that the lion was dead.
"	myth		"cleverness, strength"
28	The Lernaean Hydra	"His second labor was to get rid of the Lernaean Hydra.

The Hydra was a big snake, a big big snake. It had nine heads. One of its heads was immortal - you couldn't kill it. King Eury made it quite clear that he did not want Hercules returning with any part of the serpent. No snake skin boots or hat or gloves.

King Eury and Hera both knew that anyone who approached the monster's den in the swamp was killed by the monster's poisonous breath. Hercules did not have a chance!

But Hercules lured the monster out of the swamp. With the help of his servant, Iolaus, he clubbed off the monster's nine heads. He burned them. But one head refused to die. It kept coming back to life. So Hercules crushed that head and buried it deep in the ground, and to this day, it was never seen again.
"	myth		"cleverness, strength"
29	The Wild Boar of Erymanthus	"His 3rd labor was to bring the wild boar of Erymanthus back to the castle, alive.

Boars are wild pigs with tusks that can cut you. And they're smart. And mean. The wild boar of Erymanthus was a gigantic boar, which made him even more dangerous.

Hercules chased the huge boar up and down the mountains for almost a week before the boar dropped in exhaustion. Hercules was barely winded. He was glad he did not have to kill the boar. Hercules had gotten quite fond of the tricky fellow.

Hercules slung the boar around his neck, and carried him home. By the time he arrived at the castle, the boar had begun to recover. Hercules dropped the boar at King Eury's feet. The boar lifted its heavy head and snorted angrily. King Eury screamed and ran away. No one saw the king for the rest of the day. As for the boar, he disappeared. Some say Hercules gave him a lift home, back to the forest."	myth		"perserverance, strength"
30	The Stag of Artemis	"His 4th labor was to capture the stag of Artemis.

There were many stags in the mountains. But this one was special. The stag of Artemis was known for its incredible beauty, its golden antlers, and its remarkable speed. It was not dangerous. It was just fast.

Hercules tried to catch the stag for a very long time without success. He had hoped to catch it without injuring it. But the stag was too fast for him. Finally, Hercules shot the stag with an arrow, being very careful to hit the stag in its leg, so the wound would heal. He tied the stag gently to a tree, and left the stag there, while he looked around for a witness who would agreed to swear to King Eury that the stag had been captured. Hercules intended to let the beautiful animal go free once he could prove he had captured it.

It took a while to find anyone who was willing to speak up to King Eury, or to any king for that matter. By the time Hercules returned, dragging his witness with him, he found the goddess Artemis standing next to the empty tree where Hercules had tied the stag. Artemis was furious when she heard that King Eury had sent Hercules after her favorite stag. But she was not furious with Hercules. She offered to be his witness. As she told Hercules, she was going to be speaking soon with King Eury anyway."	myth		"beauty, perserverance"
31	The Stymphalian Birds	"Still trying to kill him, his cousin, King Eury, gave Hercules his 5th labor - to kill the Stymphalian birds!

The Stymphalian birds were just plain nasty. The people in the area spent their days and nights hiding from these scary birds. The Stymphalian birds had pointed beaks and ripping claws and their feathers were made of razor sharp bronze. They were the stuff of nightmares!

What the Stymphalian birds loved to do more than anything was to fly high in the sky looking for anyone or anything they could attack. They especially loved to drop their sharp feathers on children and animals. You can see why everyone kept their children inside, and sheltered their animals as best they could.

Hercules made a large shield of sturdy bronze to protect his body from the feathers. He used poisoned arrows to shoot all the Stymphalian birds as they flew by overhead. When the last bird fell, the people hiding inside their huts and homes rushed outside and cheered!

Hercules made many new friends that day."	myth		"cleverness, cooperation"
